date;time;status;reference;description;assetType;type;isin;shares;price;amount;fee;tax;currency
2026-02-20;05:05:43;Pending;"JTSJXI4Y1YKUSWNTSBQHDF";"Scalable Capital Broker 4x Sparplan";Cash;Deposit;;;;1.200,00;0,00;;EUR
2026-02-19;00:13:16;Pending;"SCALkwT3rcGtfzp";"Western Digital";Security;Sell;US9581021055;0;0,00;0,00;0,00;0,00;EUR
2026-02-18;08:41:39;Pending;"SCALod7ET1JPFWu";"freenet";Security;Sell;DE000A0Z2ZZ5;0;0,00;0,00;0,00;0,00;EUR
2026-02-09;17:28:29;Pending;"SCALXAX5M4vxmqm";"Intel Corp";Security;Sell;US4581401001;0;0,00;0,00;0,00;0,00;EUR
2026-02-20;18:32:08;Executed;"SCALroBdv8dnZ33";"Münchener Rück";Security;Sell;DE0008430026;1;542,00;542,00;0,00;0,00;EUR
2026-02-20;16:10:14;Executed;"SCALgiC5UkiiXPZ";"Nasdaq 100 Long 5x Factor GS";Security;Sell;DE000GX82HZ4;25;19,593;489,825;0,00;0,00;EUR
2026-02-20;16:00:45;Executed;"SCALmWcjU9JtCsq";"Micron Technology";Security;Sell;US5951121038;2;360,00;720,00;0,00;0,00;EUR
2026-02-20;14:56:19;Executed;"SCALtk76eCrXU6J";"DAX Long 5x Factor GS";Security;Sell;DE000GH1L183;87;5,679;494,073;0,00;0,00;EUR
2026-02-20;14:56:08;Cancelled;"SCALENNzyUsR7DZ";"DAX Long 5x Factor GS";Security;Sell;DE000GH1L183;0;0,00;0,00;0,00;0,00;EUR
2026-02-20;12:29:11;Cancelled;"SCALwjpuzpr2Kqg";"DAX Long 5x Factor GS";Security;Sell;DE000GH1L183;0;0,00;0,00;0,00;0,00;EUR
2026-02-20;10:55:38;Executed;"SCALKMzQen9drna";"TeamViewer Short -2x Factor HVB";Security;Sell;DE000UG3X8A2;13;38,06;494,78;0,00;0,00;EUR
2026-02-20;10:54:41;Executed;"SCALzunfUgqFkHQ";"Invesco Physical Silver";Security;Sell;IE00B43VDT70;8;65,15;521,20;0,00;0,00;EUR
2026-02-20;08:33:50;Executed;"SCALALUBRMN5nqd";"E.ON";Security;Sell;DE000ENAG999;26;18,56;482,56;0,00;0,00;EUR
2026-02-20;08:22:54;Executed;"SCALzfEov4Mpggy";"Vonovia";Security;Buy;DE000A1ML7J1;18;27,41;-493,38;0,00;0,00;EUR
2026-02-20;08:21:54;Executed;"SCAL32xJXsaeFrf";"Merck";Security;Buy;DE0006599905;4;128,30;-513,20;0,00;0,00;EUR
