ticker,isin,branche,idNotation,isoCurrency,date,open,close,high,low,volume
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-02 12:00:00,18.12,18.26,18.66,18.1,1471.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-03 12:00:00,18.34,17.5,18.34,17.32,1281.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-04 12:00:00,17.64,18.04,18.04,17.5,3506.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-05 12:00:00,18.0,18.3,18.3,17.96,1921.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-08 12:00:00,18.28,18.4,18.48,18.14,918.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-09 12:00:00,18.4,19.0,19.0,18.4,1058.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-10 12:00:00,19.0,18.92,19.02,18.7,1623.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-11 12:00:00,18.92,18.16,18.98,18.14,2446.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-12 12:00:00,18.26,18.54,18.82,18.26,818.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-15 12:00:00,18.68,18.98,18.98,18.54,2781.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-16 12:00:00,18.98,18.8,18.98,18.64,1704.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-17 12:00:00,18.68,18.86,18.86,18.5,1442.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-18 12:00:00,18.86,18.84,19.0,18.84,393.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-19 12:00:00,18.84,18.7,19.06,18.64,773.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-22 12:00:00,18.84,19.18,19.4,18.84,4879.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-23 12:00:00,19.18,19.0,19.24,18.76,1304.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-24 12:00:00,19.12,19.34,19.74,19.12,3723.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-25 12:00:00,19.52,19.16,19.7,18.6,7463.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-26 12:00:00,19.08,19.08,19.12,18.88,327.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-29 12:00:00,18.92,18.66,18.94,18.5,1853.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-30 12:00:00,18.66,18.62,18.66,18.48,2628.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-01-31 12:00:00,18.66,18.34,18.66,18.02,3776.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-01 12:00:00,18.34,18.3,18.42,18.16,1895.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-02 12:00:00,18.3,18.2,18.52,18.16,3313.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-05 12:00:00,18.18,17.84,18.32,17.84,2009.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-06 12:00:00,17.88,17.68,18.06,17.66,3193.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-07 12:00:00,17.7,17.76,17.96,17.54,1441.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-08 12:00:00,17.76,17.8,17.82,17.58,3419.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-09 12:00:00,17.8,18.44,18.44,17.8,10937.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-12 12:00:00,18.4,18.3,18.54,18.14,1761.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-13 12:00:00,18.3,18.04,18.52,18.04,4199.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-14 12:00:00,18.04,17.62,18.2,17.62,1902.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-15 12:00:00,17.62,17.68,17.8,17.52,3193.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-16 12:00:00,17.68,17.44,17.76,17.22,2215.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-19 12:00:00,17.06,17.44,17.5,17.06,1570.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-20 12:00:00,17.44,17.7,17.7,17.08,1247.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-21 12:00:00,17.7,17.18,17.76,17.04,1083.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-22 12:00:00,17.18,17.1,17.44,17.04,1008.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-23 12:00:00,17.08,17.08,17.12,16.88,2403.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-26 12:00:00,16.98,16.84,17.16,16.66,732.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-27 12:00:00,16.84,17.0,17.16,16.66,852.0
1&1,DE0005545503,Telekomdienstleister,120496355,EUR,2024-02-28 12:00:00,17.0,17.2,17.2,16.86,605.0
