ticker,isin,branche,idNotation
Adobe,US00724F1012,Standardsoftware,120480604
Airbnb,US0090661010,Touristik und Freizeit,316752125
Alnylam Pharmaceuticals,US02043Q1076,Biotechnologie,276290124
Alphabet A (Google),US02079K3059,Internetkommerz,120571829
Alphabet C (Google),US02079K1079,Internetkommerz,120573239
Amazon,US0231351067,Internetkommerz,120481174
AMD,US0079031078,Halbleiterindustrie,120572842
American Electric Power,US0255371017,Energieversorger,120477832
Amgen,US0311621009,Biotechnologie,120570619
Analog Devices,US0326541051,Halbleiterindustrie,120511403
Apple,US0378331005,Computer-Hardware,120581417
Applied Materials,US0382221051,Halbleiterindustrie,120480345
AppLovin,US03831W1080,Spezialsoftware,330789964
ARM Holdings (ADR),US0420682058,Computer-Hardware,433461392
ASML Holding (ADR),USN070592100,Elektrotechnologie,202845220
Atlassian,US0494681010,Softwareservice / -dienstleistung,149381399
Autodesk,US0527691069,Standardsoftware,120477125
Automatic Data Processing,US0530151036,Netzwerktechnik und -systeme,120478005
Axon Enterprise,US05464C1018,Sonstige Technologie,346898531
Baker Hughes,US05722G1004,Öl und Gas,120480461
Booking Holdings,US09857L1089,Touristik und Freizeit,120506731
Broadcom,US11135F1012,Halbleiterindustrie,120572838
Cadence Design Systems,US1273871087,Computer-Hardware,120570694
Charter Communications,US16119P1084,Telekommunikationsausrüster,188851846
Cintas,US1729081059,Bekleidungsartikel,120472538
Cisco Systems,US17275R1023,Netzwerktechnik und -systeme,120480423
Coca-Cola European Partners,GB00BDCPN049,Getränke / Tabak,316628685
Cognizant,US1924461023,Softwareservice / -dienstleistung,120571802
Comcast,US20030N1019,Telekommunikationsausrüster,120573401
Constellation Energy,US21037T1097,Energieversorger,370652551
Copart,US2172041061,Dienstleistungen,268426085
CoStar Group,US22160N1090,Immobilien,120571638
Costco Wholesale,US22160K1051,Einzelhandel,120572142
Crowdstrike,US22788C1053,Spezialsoftware,258820919
CSX,US1264081035,Eisenbahn und Straße,120477933
Datadog,US23804L1035,Spezialsoftware,309138936
DexCom,US2521311074,Medizinische Geräte,259791652
Diamondback Energy,US25278X1090,Öl und Gas,244897337
DoorDash,US25809K1051,Internetkommerz,379253909
Electronic Arts,US2855121099,Standardsoftware,120473807
Exelon,US30161N1019,Energieversorger,120477211
Fastenal,US3119001044,Baumaterial und -komponenten,120478599
Ferrovial,NL0015001FS8,Bauhauptgewerbe,424039756
Fortinet,US34959E1091,IT-Software (Telekommunikation und Internet),309015111
GE HealthCare,US36266G1076,Medizinische Geräte,407252797
Gilead Sciences,US3755581036,Pharma,120477254
Honeywell,US4385161066,Mischkonzerne,120479821
IDEXX LABORATORIES,US45168D1046,Biotechnologie,188865526
Insmed,US4576693075,Biotechnologie,438415676
Intel,US4581401001,Halbleiterindustrie,120573142
Intuit,US4612021034,Standardsoftware,120480439
Intuitive Surgical,US46120E6023,Medizinische Geräte,120570783
KEURIG DR PEPPER,US49271V1008,Getränke / Tabak,120572951
Kla-Tencor,US4824801009,Dienstleistungen,120479598
Kraft Heinz,US5007541064,Nahrungsmittel,136736342
Lam Research,US5128073062,Halbleiterindustrie,120570589
Linde,IE000S9YS762,Chemie,234055799
Marriott International A,US5719032022,Touristik und Freizeit,120478708
Marvell,US5738741041,Halbleiterindustrie,120480753
Mercadolibre,US58733R1023,IT-Dienstleistungen,193020965
Meta Platforms (ehem. Facebook),US30303M1027,Internetkommerz,120480591
Microchip Technology,US5950171042,Halbleiterindustrie,120477860
Micron Technology,US5951121038,Computer-Hardware,120471564
Microsoft,US5949181045,Standardsoftware,120524437
Mondelez International,US6092071058,Nahrungsmittel,120571633
Monolithic Power Systems,US6098391054,Elektrotechnologie,289120847
Monster Beverage,US61174X1090,Getränke / Tabak,120572899
Netflix,US64110L1061,Entertainment / Dienstleistungen,120571709
Nvidia,US67066G1040,Halbleiterindustrie,120478602
NXP Semiconductors,NL0009538784,Halbleiterindustrie,120514164
O'Reilly Automotive,US67103H1077,Einzelhandel,120571372
Old Dominion Freight Line,US6795801009,Gütertransport,276519361
Paccar,US6937181088,Automobilzulieferer,120572881
Palantir,US69608A1088,Softwareservice / -dienstleistung,308581867
Palo Alto Networks,US6974351057,Sonstige Technologie,261869808
Paychex,US7043261079,Dienstleistungen,120571473
Paypal,US70450Y1038,Finanzdienstleistungen,136977237
PepsiCo,US7134481081,Getränke / Tabak,120477776
"Pinduoduo (PDD Holdings, Temu)",US7223041028,Internetkommerz,224824321
Qualcomm,US7475251036,IT-Dienstleistungen,120481262
Regeneron,US75886F1075,Pharma,120570624
Roper Technologies,US7766961061,Spezialsoftware,253908475
Ross Stores,US7782961038,Sonstige Handel,120477244
Seagate Technology,IE00BKVD2N49,Computer-Hardware,336449976
Shopify,CA82509L1076,Internetkommerz,209797858
Starbucks,US8552441094,Restaurants und Foodvertrieb,120578261
Strategy (ehem. MicroStrategy),US5949724083,Spezialsoftware,321076850
Synopsys,US8716071076,Standardsoftware,237244472
Take-Two Interactive Software,US8740541094,Spezialsoftware,120481322
Tesla,US88160R1014,Automobilproduktion,120479770
Texas Instruments,US8825081040,Halbleiterindustrie,120477845
Thomson Reuters,CA8849038085,Dienstleistungen,389806638
T-Mobile US,US8725901040,Telekomdienstleister,176275134
Verisk Analytics,US92345Y1064,Finanzdienstleistungen,120573550
Vertex Pharmaceuticals,US92532F1003,Pharma,120473832
Walmart,US9311421039,Kaufhäuser,120477915
Warner Bros,US9344231041,Entertainment / Dienstleistungen,120573125
Western Digital,US9581021055,Computer-Hardware,120477229
Workday,US98138H1014,Sonstige Technologie,237226014
Xcel Energy,US98389B1008,Energieversorger,319196909
