ticker,isin,branche,idNotation
Adobe Systems,US00724F1012,,120480604
Airbnb A,US0090661010,,316752125
Align Technology,US0162551016,,220033351
Alphabet A (Google),US02079K3059,,120571829
Alphabet C (Google),US02079K1079,,120573239
Amazon,US0231351067,,120481174
AMD,US0079031078,,120572842
American Electric Power,US0255371017,,120477832
Amgen,US0311621009,,120570619
Analog Devices,US0326541051,,120511403
Apple,US0378331005,,120581417
Applied Materials,US0382221051,,120480345
AppLovin,US03831W1080,,330789964
ARM Holdings,US0420682058,,433461392
ASML Holding (ADR),USN070592100,,202845220
ATLASSIAN CORP PLC,US0494681010,,149381399
Autodesk,US0527691069,,120477125
Automatic Data Processing,US0530151036,,120478005
Axon Enterprise,US05464C1018,,346898531
Baker Hughes,US05722G1004,,120480461
Booking Holdings,US09857L1089,,120506731
Broadcom,US11135F1012,,120572838
Cadence Design Systems,US1273871087,,120570694
Charter Communications,US16119P1084,,188851846
Cintas,US1729081059,,120472538
Cisco,US17275R1023,,120480423
Coca-Cola European Partners,GB00BDCPN049,,316628685
Cognizant,US1924461023,,120571802
Comcast,US20030N1019,,120573401
Constellation Energy,US21037T1097,,370652551
Copart,US2172041061,,268426085
CoStar Group,US22160N1090,,120571638
Costco Wholesale,US22160K1051,,120572142
Crowdstrike,US22788C1053,,258820919
CSX Corp.,US1264081035,,120477933
Datadog A,US23804L1035,,309138936
Dexcom,US2521311074,,259791652
Diamondback Energy,US25278X1090,,244897337
DoorDash,US25809K1051,,379253909
Electronic Arts,US2855121099,,120473807
Exelon,US30161N1019,,120477211
Fastenal,US3119001044,,120478599
Ferrovial,NL0015001FS8,,424039756
Fortinet,US34959E1091,,309015111
GE HealthCare,US36266G1076,,407252797
Gilead Sciences,US3755581036,,120477254
Honeywell International,US4385161066,,120479821
IDEXX Laboratories,US45168D1046,,188865526
Insmed,US4576693075,,438415676
Intel,US4581401001,,120573142
Intuit,US4612021034,,120480439
Intuitive Surgical,US46120E6023,,120570783
Keurig Dr Pepper,US49271V1008,,120572951
Kla-Tencor,US4824801009,,120479598
Kraft Heinz,US5007541064,,136736342
Lam Research,US5128071082,,120570589
Linde,IE000S9YS762,,234055799
Marriott International A,US5719032022,,120478708
Marvell,US5738741041,,120480753
Mercadolibre,US58733R1023,,193020965
Meta Platforms (ehem. Facebook),US30303M1027,,120480591
Microchip Technology,US5950171042,,120477860
Micron Technology,US5951121038,,120471564
Microsoft,US5949181045,,120524437
Mondelez International,US6092071058,,120571633
Monolithic Power Systems,US6098391054,,289120847
Monster Beverage,US61174X1090,,120572899
Netflix,US64110L1061,,120571709
Nvidia,US67066G1040,,120478602
NXP Semiconductors,NL0009538784,,120514164
O'Reilly Automotive,US67103H1077,,120571372
Old Dominion Freight Line,US6795801009,,276519361
Paccar,US6937181088,,120572881
Palantir,US69608A1088,,308581867
Palo Alto Networks,US6974351057,,261869808
Paychex,US7043261079,,120571473
Paypal,US70450Y1038,,136977237
PepsiCo,US7134481081,,120477776
Pinduoduo (ADR),US7223041028,,224824321
Qualcomm,US7475251036,,120481262
Regeneron,US75886F1075,,120570624
Roper Technologies,US7766961061,,253908475
Ross Stores,US7782961038,,120477244
Seagate Technology,IE00BKVD2N49,,336449976
Shopify,CA82509L1076,,209797858
Starbucks,US8552441094,,120578261
Strategy,US5949724083,,321076850
Synopsys,US8716071076,,237244472
Take-Two Interactive,US8740541094,,120481322
Tesla,US88160R1014,,120479770
Texas Instruments,US8825081040,,120477845
Thomson Reuters,CA8849038085,,389806638
T-Mobile US,US8725901040,,176275134
Verisk Analytics,US92345Y1064,,120573550
Vertex Pharmaceuticals,US92532F1003,,120473832
Walmart,US9311421039,,120477915
Warner Bros,US9344231041,,120573125
Western Digital,US9581021055,,120477229
Workday,US98138H1014,,237226014
Xcel Energy,US98389B1008,,319196909
Zscaler,US98980G1022,,217322936
